time,temperature
0.8110702037811279,23.875
2.634553909301758,23.875
4.4584197998046875,23.875
6.282418727874756,23.875
8.106427431106567,23.875
9.930995464324951,23.937
11.754835844039917,24.0
13.578849792480469,24.062
15.402415752410889,24.125
17.322465419769287,24.187
19.14641547203064,24.25
20.974862575531006,24.312
22.79483699798584,24.375
24.61885905265808,24.437
26.44241714477539,24.5
28.266417741775513,24.625
30.090839862823486,24.687
31.914825201034546,24.75
33.73884391784668,24.812
35.56284141540527,24.875
37.38689613342285,24.937
39.21083617210388,25.0
41.034425020217896,25.062
42.85899233818054,25.125
44.68241763114929,25.25
46.5068633556366,25.25
48.330838680267334,25.312
50.154428243637085,25.375
51.978410720825195,25.437
53.802410364151,25.437
55.62686514854431,25.5
57.45082879066467,25.562
59.27482485771179,25.625
61.098440408706665,25.687
62.922423124313354,25.75
64.74641489982605,25.812
66.57084250450134,25.937
68.39483618736267,26.0
70.21842241287231,26.0
72.04241156578064,26.062
73.86641359329224,26.125
75.69082951545715,26.187
77.51483583450317,26.25
79.33883786201477,26.25
81.1624207496643,26.25
82.98642086982727,26.312
84.81041884422302,26.375
86.634840965271,26.437
88.45883560180664,26.5
90.28241682052612,26.562
92.10641288757324,26.562
93.9304096698761,26.625
95.75484013557434,26.687
97.57842326164246,26.687
99.40241622924805,26.812
101.22642660140991,26.812
103.05085849761963,26.812
104.87483286857605,26.875
106.69883394241333,26.937
108.52283096313477,27.0
110.34690356254578,27.0
112.17083239555359,27.062
113.99482679367065,27.062
115.81882524490356,27.125
117.64299607276917,27.125
119.46684789657593,27.187
121.29083466529846,27.25
123.11482977867126,27.25
124.93895149230957,27.312
126.76242089271545,27.375
128.58641529083252,27.375
130.41086673736572,27.375
132.2350525856018,27.437
134.05882287025452,27.5
135.88284707069397,27.5
137.7068326473236,27.562
139.53083610534668,27.562
141.35441613197327,27.562
143.1784143447876,27.625
145.0026023387909,27.625
146.82683944702148,27.687
148.6748251914978,27.75
150.4748330116272,27.812
152.2988302707672,27.875
154.12282991409302,27.937
155.94640827178955,28.0
157.77041292190552,28.125
159.59442138671875,28.187
161.4188334941864,28.312
163.2428379058838,28.375
165.06664323806763,28.437
166.89082884788513,28.562
168.71483993530273,28.562
170.53841996192932,28.75
172.3624131679535,28.875
174.18640780448914,28.937
176.01478695869446,29.062
177.8348343372345,29.125
179.6588921546936,29.25
181.4824252128601,29.312
183.30651140213013,29.437
185.13085532188416,29.5
186.9548304080963,29.625
188.77881503105164,29.687
190.60241675376892,29.75
192.42641472816467,29.812
194.25040936470032,29.937
196.07474875450134,30.0
197.8988757133484,30.062
199.72282004356384,30.125
201.5464150905609,30.187
203.37041854858398,30.312
205.19483399391174,30.375
207.0188386440277,30.437
208.84282445907593,30.5
210.66643238067627,30.562
212.49042105674744,30.625
214.31441044807434,30.687
216.13886308670044,30.75
217.96283340454102,30.812
219.78685188293457,30.875
221.6104211807251,30.937
223.43441462516785,30.937
225.2588336467743,31.0
227.08283257484436,31.062
228.906831741333,31.125
230.7304172515869,31.187
232.55441665649414,31.312
234.3784143924713,31.375
236.2028501033783,31.375
238.02681589126587,31.437
239.85083866119385,31.5
241.67442178726196,31.562
243.49841594696045,31.625
245.32283353805542,31.625
247.14683628082275,31.687
248.9708411693573,31.75
250.7944188117981,31.75
252.6184229850769,31.812
254.44240880012512,31.812
256.26682925224304,31.875
258.09082221984863,31.875
259.9150013923645,31.875
261.73841738700867,31.937
263.5624146461487,31.937
265.38683915138245,32.0
267.2108345031738,32.0
269.0348310470581,32.062
270.85841846466064,32.062
272.6829969882965,32.125
274.5064129829407,32.125
276.3308308124542,32.187
278.1548342704773,32.187
279.9788930416107,32.25
281.80241203308105,32.25
283.62640857696533,32.25
285.4508409500122,32.312
287.2748236656189,32.312
289.0988266468048,32.375
290.9229190349579,32.375
292.7468526363373,32.437
294.5708198547363,32.437
296.39441895484924,32.437
298.21841073036194,32.5
300.04284501075745,32.562
301.86683464050293,32.562
303.6908564567566,32.562
305.5148432254791,32.625
307.33884596824646,32.625
309.1628541946411,32.687
311.010858297348,32.687
312.8108322620392,32.75
314.6348223686218,32.75
316.4588541984558,32.75
318.28241443634033,32.812
320.10641717910767,32.812
321.93082571029663,32.812
323.75486516952515,32.937
325.5784206390381,32.875
327.4024109840393,32.937
329.22641611099243,33.0
331.05078053474426,33.0
332.87483620643616,33.0
334.69882321357727,33.062
336.52254843711853,33.062
338.3464114665985,33.062
340.17085671424866,33.125
341.9948468208313,33.125
343.8188359737396,33.187
345.64242029190063,33.187
347.466415643692,33.187
349.2904143333435,33.187
351.1147871017456,33.25
352.93884325027466,33.25
354.762832403183,33.25
356.58685088157654,33.25
358.4108371734619,33.312
360.2344138622284,33.312
362.05841517448425,33.312
363.88241839408875,33.312
365.7068393230438,33.375
367.53088760375977,33.375
369.354838848114,33.375
371.17868423461914,33.437
373.00284075737,33.437
374.8268358707428,33.437
376.6508665084839,33.437
378.47477746009827,33.5
380.2986810207367,33.5
382.12282729148865,33.5
383.9468283653259,33.562
385.77084136009216,33.5
387.5948398113251,33.5
389.41886281967163,33.5
391.2428357601166,33.5
393.0668411254883,33.562
394.89356875419617,33.562
396.7148368358612,33.562
398.53883051872253,33.562
400.3624179363251,33.5
402.18641233444214,33.5
404.0104138851166,33.5
405.8349132537842,33.5
407.65883898735046,33.5
409.48284220695496,33.5
411.30683970451355,33.5
413.13084053993225,33.5
414.9546630382538,33.562
416.77884459495544,33.562
418.6032450199127,33.562
420.42641735076904,33.625
422.25041103363037,33.625
424.07441329956055,33.625
